Casos,Casos confirmados,Casos probables,Departamentos,Distritos,Provincias,Año,Eventos o daños,Semana
5,5,0,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,2015,Dengue,2
1,1,0,HUANUCO,PUERTO INCA,PUERTO INCA,2015,Dengue,2
0,0,0,LORETO,LAGUNAS,ALTO AMAZONAS,2015,Dengue,3
8,8,0,JUNIN,PICHANAQUI,CHANCHAMAYO,2015,Dengue,3
2,2,0,HUANUCO,RUPA-RUPA,LEONCIO PRADO,2015,Dengue,3
4,4,0,PIURA,CURA MORI,PIURA,2015,Dengue,3
0,0,0,UCAYALI,IRAZOLA,PADRE ABAD,2015,Dengue,3
1,1,0,CAJAMARCA,SAN JOSE DEL ALTO,JAEN,2015,Dengue,3
13,13,0,PIURA,TAMBO GRANDE,PIURA,2015,Dengue,3
1,1,0,LORETO,MAZAN,MAYNAS,2015,Dengue,3
5,5,0,UCAYALI,MANANTAY,CORONEL PORTILLO,2015,Dengue,3
0,0,0,SAN MARTIN,BARRANQUITA,LAMAS,2015,Dengue,3
3,3,0,UCAYALI,CURIMANA,PADRE ABAD,2015,Dengue,3
1,1,0,LAMBAYEQUE,PATAPO,CHICLAYO,2016,Dengue,1
6,6,0,LA LIBERTAD,PAIJAN,ASCOPE,2016,Dengue,1
7,7,0,JUNIN,PERENE,CHANCHAMAYO,2016,Dengue,1
24,24,0,AYACUCHO,SANTA ROSA,LA MAR,2016,Dengue,1
1,1,0,TUMBES,ZARUMILLA,ZARUMILLA,2016,Dengue,1
1,1,0,IMPORTADOS,IMPORTADOS,IMPORTADOS,2016,Dengue,1
6,6,0,LAMBAYEQUE,MOTUPE,LAMBAYEQUE,2016,Dengue,1
7,4,3,LORETO,IQUITOS,MAYNAS,2016,Dengue,1
4,4,0,JUNIN,PICHANAQUI,CHANCHAMAYO,2016,Dengue,1
1,1,0,AMAZONAS,BAGUA GRANDE,UTCUBAMBA,2016,Dengue,1
1,1,0,HUANUCO,LUYANDO,LEONCIO PRADO,2016,Dengue,1
3,3,0,PIURA,SALITRAL,MORROPON,2016,Dengue,1
4,4,0,UCAYALI,YARINACOCHA,CORONEL PORTILLO,2016,Dengue,1
1,1,0,PIURA,CASTILLA,PIURA,2016,Dengue,1
1,1,0,UCAYALI,RAYMONDI,ATALAYA,2016,Dengue,1
2,1,1,AYACUCHO,SIVIA,HUANTA,2016,Dengue,1
1,1,0,MADRE DE DIOS,HUEPETUHE,MANU,2016,Dengue,1
5,5,0,MADRE DE DIOS,LAS PIEDRAS,TAMBOPATA,2016,Dengue,1
3,3,0,PIURA,BERNAL,SECHURA,2016,Dengue,1
4,4,0,PASCO,CONSTITUCION,OXAPAMPA,2016,Dengue,1
3,3,0,JUNIN,RIO NEGRO,SATIPO,2016,Dengue,1
5,5,0,AYACUCHO,LLOCHEGUA,HUANTA,2016,Dengue,1
1,1,0,CUSCO,SANTA ANA,LA CONVENCION,2016,Dengue,1
1,1,0,AYACUCHO,ANCO,LA MAR,2016,Dengue,1
10,10,0,HUANUCO,RUPA-RUPA,LEONCIO PRADO,2016,Dengue,1
4,4,0,MADRE DE DIOS,TAHUAMANU,TAHUAMANU,2016,Dengue,1
5,5,0,PIURA,PARI�AS,TALARA,2016,Dengue,1
17,17,0,LAMBAYEQUE,TUMAN,CHICLAYO,2016,Dengue,1
1,1,0,UCAYALI,IRAZOLA,PADRE ABAD,2016,Dengue,1
0,0,0,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,2015,Dengue,3
0,0,0,PASCO,CONSTITUCION,OXAPAMPA,2015,Dengue,3
2,2,0,LORETO,PUNCHANA,MAYNAS,2015,Dengue,3
9,9,0,TUMBES,CORRALES,TUMBES,2015,Dengue,3
5,5,0,TUMBES,LA CRUZ,TUMBES,2015,Dengue,3
2,2,0,CAJAMARCA,JAEN,JAEN,2015,Dengue,3
0,0,0,LORETO,CONTAMANA,UCAYALI,2015,Dengue,3
